,sEth,dEth,typEth,Source,Destination,proto,type,code,sPort,dPort,priority,action
22,9e:8d:de:80:29:28,*,0x800,*,device-metrics-us.amazon.com,6,*,*,*,443,*,forward
23,9e:8d:de:80:29:28,*,0x800,*,files.whooshkaa.com,6,*,*,*,443,*,forward
24,9e:8d:de:80:29:28,*,0x800,*,224.0.0.251/32,17,*,*,*,5353,*,forward
25,9e:8d:de:80:29:28,*,0x800,*,pins.amazon.com,17,*,*,*,33434,*,forward
26,9e:8d:de:80:29:28,*,0x800,*,media.whooshkaa.com,6,*,*,*,443,*,forward
27,9e:8d:de:80:29:28,*,0x800,*,0.north-america.pool.ntp.org,17,*,*,*,123,*,forward
28,9e:8d:de:80:29:28,*,0x800,*,www.example.net,6,*,*,*,80,*,forward
29,*,9e:8d:de:80:29:28,0x800,3.north-america.pool.ntp.org,*,17,*,*,123,*,*,forward
30,*,9e:8d:de:80:29:28,0x800,ntp-g7g.amazon.com,*,17,*,*,123,*,*,forward
31,*,9e:8d:de:80:29:28,0x800,api.amazonalexa.com,*,6,*,*,443,*,*,forward
32,*,9e:8d:de:80:29:28,0x800,tinytts-us-west-2.amazon.com,*,6,*,*,443,*,*,forward
33,*,9e:8d:de:80:29:28,0x800,2.north-america.pool.ntp.org,*,17,*,*,123,*,*,forward
34,*,9e:8d:de:80:29:28,0x800,todo-ta-g7g.amazon.com,*,6,*,*,443,*,*,forward
35,*,9e:8d:de:80:29:28,0x800,1.north-america.pool.ntp.org,*,17,*,*,123,*,*,forward
36,*,9e:8d:de:80:29:28,0x800,0.north-america.pool.ntp.org,*,17,*,*,123,*,*,forward
37,*,9e:8d:de:80:29:28,0x800,www.example.com,*,6,*,*,80,*,*,forward
38,*,*,0x800,*,*,17,*,*,67,*,*,forward
39,*,9e:8d:de:80:29:28,0x800,208.67.220.220/32,*,17,*,*,53,*,*,forward
40,*,9e:8d:de:80:29:28,0x800,device-metrics-us.amazon.com,*,6,*,*,443,*,*,forward
41,*,*,0x800,*,*,1,0,0,*,*,*,forward
42,*,9e:8d:de:80:29:28,0x800,device-fingerprintdb-v1.s3.amazonaws.com,*,6,*,*,443,*,*,forward
43,*,*,0x800,*,*,17,*,*,53,*,*,forward
44,*,9e:8d:de:80:29:28,0x800,dcape-na.amazon.com,*,6,*,*,443,*,*,forward
45,*,9e:8d:de:80:29:28,0x800,www.meethue.com,*,6,*,*,443,*,*,forward
46,*,9e:8d:de:80:29:28,0x800,files.whooshkaa.com,*,6,*,*,443,*,*,forward
47,*,9e:8d:de:80:29:28,0x800,pins.amazon.com,*,17,*,*,33434,*,*,forward
48,*,9e:8d:de:80:29:28,0x800,kindle-time.amazon.com,*,6,*,*,80,*,*,forward
49,*,9e:8d:de:80:29:28,0x800,media.whooshkaa.com,*,6,*,*,443,*,*,forward
