,sEth,dEth,typEth,Source,Destination,proto,sPort,dPort,priority,action
72,9e:8d:de:80:29:28,*,0x0800,*,rpsv222.video-cloud.net,6,*,443,*,forward
73,9e:8d:de:80:29:28,*,0x0800,*,august.pubnub.com,6,*,443,*,forward
74,9e:8d:de:80:29:28,*,0x0800,*,logger.august.com,6,*,443,*,forward
75,9e:8d:de:80:29:28,*,0x0800,*,s3-us-west-2.amazonaws.com,6,*,443,*,forward
76,9e:8d:de:80:29:28,*,0x0800,*,rpsv4.video-cloud.net,6,*,443,*,forward
77,9e:8d:de:80:29:28,*,0x0800,*,doorbells.august.com,6,*,443,*,forward
78,9e:8d:de:80:29:28,*,0x0800,*,rbs-sticky.august.com,6,*,443,*,forward
79,9e:8d:de:80:29:28,*,0x0800,*,rpsv1.video-cloud.net,6,*,443,*,forward
80,9e:8d:de:80:29:28,*,0x0800,*,rpsv10.video-cloud.net,6,*,443,*,forward
81,9e:8d:de:80:29:28,*,0x0800,*,rpsv5.video-cloud.net,6,*,443,*,forward
82,9e:8d:de:80:29:28,*,0x0800,*,dmsv2.video-cloud.net,6,*,443,*,forward
83,9e:8d:de:80:29:28,*,0x0800,*,8.8.8.8/32,1,*,*,*,forward
84,*,9e:8d:de:80:29:28,0x0800,rpsv7.video-cloud.net,*,6,443,*,*,forward
85,*,9e:8d:de:80:29:28,0x0800,august.pubnub.com,*,6,443,*,*,forward
86,*,9e:8d:de:80:29:28,0x0800,rpsv2.video-cloud.net,*,6,443,*,*,forward
87,*,9e:8d:de:80:29:28,0x0800,s3-us-west-2.amazonaws.com,*,6,443,*,*,forward
88,*,9e:8d:de:80:29:28,0x0800,logger.august.com,*,6,443,*,*,forward
89,*,9e:8d:de:80:29:28,0x0800,336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com,*,6,443,*,*,forward
90,*,9e:8d:de:80:29:28,0x0800,rpsv11.video-cloud.net,*,6,443,*,*,forward
91,*,9e:8d:de:80:29:28,0x0800,dmsv2.video-cloud.net,*,6,443,*,*,forward
93,*,9e:8d:de:80:29:28,0x0800,doorbells.august.com,*,1,*,*,*,forward
94,*,9e:8d:de:80:29:28,0x0800,8.8.8.8/32,*,17,53,*,*,forward
95,*,9e:8d:de:80:29:28,0x0800,rpsv1.video-cloud.net,*,6,443,*,*,forward
96,*,9e:8d:de:80:29:28,0x0800,rpsv4.video-cloud.net,*,6,443,*,*,forward
97,*,9e:8d:de:80:29:28,0x0800,rpsv3.video-cloud.net,*,6,443,*,*,forward
99,*,9e:8d:de:80:29:28,0x0800,v2servers.video-cloud.net,*,6,443,*,*,forward
100,*,9e:8d:de:80:29:28,0x0800,iconfig.august.com,*,6,443,*,*,forward
101,*,9e:8d:de:80:29:28,0x0800,rpsv222.video-cloud.net,*,6,443,*,*,forward
102,*,9e:8d:de:80:29:28,0x0800,rpsv10.video-cloud.net,*,6,443,*,*,forward
103,*,9e:8d:de:80:29:28,0x0800,doorbells.august.com,*,6,443,*,*,forward
104,*,9e:8d:de:80:29:28,0x0800,vcsv2.video-cloud.net,*,6,443,*,*,forward
105,*,9e:8d:de:80:29:28,0x0800,rpsv5.video-cloud.net,*,6,443,*,*,forward
106,*,9e:8d:de:80:29:28,0x0800,8.8.8.8/32,*,1,*,*,*,forward
107,*,9e:8d:de:80:29:28,0x0800,8.8.4.4/32,*,1,*,*,*,forward
108,*,9e:8d:de:80:29:28,0x0800,rbs-sticky.august.com,*,6,443,*,*,forward
109,*,9e:8d:de:80:29:28,0x0800,rpsv12.video-cloud.net,*,6,443,*,*,forward
110,*,*,*,*,*,17,*,547,*,forward
111,*,*,*,*,*,58,*,*,*,forward
113,*,*,*,*,*,17,*,53,*,forward
114,*,*,*,*,*,0,*,*,*,forward
117,*,*,*,*,*,17,547,*,*,forward
118,*,*,*,*,*,17,53,*,*,forward
124,9e:8d:de:80:29:28,*,0x0800,*,ota.awair.is,6,*,443,*,forward
125,9e:8d:de:80:29:28,*,0x0800,*,timeserver.awair.is,6,*,443,*,forward
127,9e:8d:de:80:29:28,*,0x0800,*,messaging.awair.is,6,*,8883,*,forward
129,*,9e:8d:de:80:29:28,0x0800,messaging.awair.is,*,6,8883,*,*,forward
131,*,9e:8d:de:80:29:28,0x0800,timeserver.awair.is,*,6,443,*,*,forward
134,*,9e:8d:de:80:29:28,0x0800,ota.awair.is,*,6,443,*,*,forward
137,9e:8d:de:80:29:28,*,0x0800,*,origin.belkin-us.tendplatform.com,6,*,443,*,forward
138,9e:8d:de:80:29:28,*,0x0800,*,api.xbcs.net,6,*,8443,*,forward
139,*,*,0x0800,*,*,6,*,5104,*,forward
142,*,*,0x0800,*,*,6,*,3478,*,forward
144,9e:8d:de:80:29:28,*,0x0800,*,ping.seedonk.com,1,*,*,*,forward
145,9e:8d:de:80:29:28,*,0x0800,*,prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com,6,*,3475,*,forward
146,9e:8d:de:80:29:28,*,0x0800,*,devices.xbcs.net,6,*,8899,*,forward
147,*,*,0x0800,*,*,6,9207,*,*,forward
148,9e:8d:de:80:29:28,*,0x0800,*,time.windows.com,17,*,123,*,forward
149,9e:8d:de:80:29:28,*,*,*,239.255.255.250/32,2,*,*,*,forward
151,9e:8d:de:80:29:28,*,0x0800,*,origin.belkin-us.tendplatform.com,6,*,5104,*,forward
152,*,*,0x0800,*,*,6,49154,*,*,forward
153,*,*,0x0800,*,*,17,*,*,*,forward
154,9e:8d:de:80:29:28,*,0x0800,*,nat.xbcs.net,6,*,3475,*,forward
155,9e:8d:de:80:29:28,*,*,*,224.0.0.2/32,2,*,*,*,forward
156,9e:8d:de:80:29:28,*,0x0800,*,www.google.com,1,*,*,*,forward
158,*,*,0x0800,*,*,6,49153,*,*,forward
159,*,9e:8d:de:80:29:28,0x0800,ping.seedonk.com,*,1,*,*,*,forward
161,*,9e:8d:de:80:29:28,0x0800,origin.belkin-us.tendplatform.com,*,6,443,*,*,forward
163,*,9e:8d:de:80:29:28,0x0800,origin.belkin-us.tendplatform.com,*,6,5104,*,*,forward
164,*,*,0x0800,*,*,6,*,49153,*,forward
165,*,9e:8d:de:80:29:28,0x0800,devices.xbcs.net,*,6,8899,*,*,forward
166,*,*,0x0800,*,*,6,*,9207,*,forward
167,*,9e:8d:de:80:29:28,0x0800,time.windows.com,*,17,123,*,*,forward
168,*,*,0x0800,*,*,6,*,49154,*,forward
170,*,9e:8d:de:80:29:28,0x0800,www.google.com,*,1,*,*,*,forward
172,*,*,0x0800,*,*,6,5104,*,*,forward
174,*,9e:8d:de:80:29:28,0x0800,prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com,*,6,3475,*,*,forward
175,*,*,0x0800,*,*,6,3478,*,*,forward
176,*,9e:8d:de:80:29:28,0x0800,nat.xbcs.net,*,6,3475,*,*,forward
177,*,9e:8d:de:80:29:28,0x0800,api.xbcs.net,*,6,8443,*,*,forward
180,9e:8d:de:80:29:28,*,*,*,224.0.0.1/32,2,*,*,*,forward
181,9e:8d:de:80:29:28,*,0x0800,*,tech.carematix.com,6,*,8777,*,forward
185,*,9e:8d:de:80:29:28,0x0800,tech.carematix.com,*,6,8777,*,*,forward
190,9e:8d:de:80:29:28,*,0x0800,*,h.canaryis.com,6,*,80,*,forward
191,9e:8d:de:80:29:28,*,0x0800,*,m.canaryis.com,6,*,443,*,forward
193,9e:8d:de:80:29:28,*,0x0800,*,ipv4.connman.net,6,*,80,*,forward
194,9e:8d:de:80:29:28,*,0x0800,*,b.canaryis.com,6,*,443,*,forward
195,9e:8d:de:80:29:28,*,0x0800,*,09-wl2-d-prod.canaryis.com,6,*,443,*,forward
196,9e:8d:de:80:29:28,*,0x0800,*,v.canaryis.com,6,*,443,*,forward
197,9e:8d:de:80:29:28,*,0x0800,*,o.canaryis.com,6,*,443,*,forward
198,9e:8d:de:80:29:28,*,0x0800,*,i.canaryis.com,6,*,80,*,forward
200,9e:8d:de:80:29:28,*,0x0800,*,i.canaryis.com,6,*,443,*,forward
201,9e:8d:de:80:29:28,*,0x0800,*,h.canaryis.com,6,*,443,*,forward
202,*,9e:8d:de:80:29:28,0x0800,i.canaryis.com,*,6,443,*,*,forward
203,*,9e:8d:de:80:29:28,0x0800,b.canaryis.com,*,6,443,*,*,forward
204,*,9e:8d:de:80:29:28,0x0800,i.canaryis.com,*,6,80,*,*,forward
205,*,9e:8d:de:80:29:28,0x0800,09-wl2-d-prod.canaryis.com,*,6,443,*,*,forward
206,*,9e:8d:de:80:29:28,0x0800,h.canaryis.com,*,6,80,*,*,forward
208,*,9e:8d:de:80:29:28,0x0800,o.canaryis.com,*,6,443,*,*,forward
209,*,9e:8d:de:80:29:28,0x0800,h.canaryis.com,*,6,443,*,*,forward
210,*,9e:8d:de:80:29:28,0x0800,ipv4.connman.net,*,6,80,*,*,forward
212,*,9e:8d:de:80:29:28,0x0800,v.canaryis.com,*,6,443,*,*,forward
213,*,9e:8d:de:80:29:28,0x0800,m.canaryis.com,*,6,443,*,*,forward
218,9e:8d:de:80:29:28,*,0x0800,*,ad.doubleclick.net,6,*,443,*,forward
219,9e:8d:de:80:29:28,*,*,*,224.0.0.251/32,2,*,*,*,forward
220,9e:8d:de:80:29:28,*,0x0800,*,pagead2.googlesyndication.com,17,*,443,*,forward
